City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,295.37,67,20,6.7,PN,1732482412
1,port-aux-francais,-49.35,70.2167,277.2,76,81,11.98,TF,1732482413
2,mount isa,-20.7333,139.5,298.02,69,100,4.63,AU,1732482415
3,rikaze,29.25,88.8833,269.59,32,0,1.86,CN,1732482315
4,tiksi,71.6872,128.8694,250.91,92,79,6.19,RU,1732482417
5,lihue,21.9789,-159.3672,298.92,65,0,2.06,US,1732482418
6,demba,-5.51,22.2667,292.66,95,42,0.67,CD,1732482636
7,barra de santo antonio,-9.4047,-35.5072,298.93,83,2,7.21,BR,1732482637
8,shixing,24.9482,114.0657,290.09,91,100,0.34,CN,1732482638
9,grytviken,-54.2811,-36.5092,279.43,49,4,5.76,GS,1732482639
10,selfoss,63.9331,-20.9971,266.41,81,3,4.61,IS,1732482641
11,nova sintra,14.8667,-24.7167,298.39,75,0,9.37,CV,1732482425
12,chiredzi,-21.05,31.6667,298.48,56,66,1.8,ZW,1732482643
13,karamay,45.6004,84.8661,269.57,73,37,0.95,CN,1732482644
14,bethel,41.3712,-73.414,280.72,56,62,1.34,US,1732482590
15,jamestown,42.097,-79.2353,277.6,93,100,5.14,US,1732482646
16,den burg,53.0542,4.7972,291.13,55,100,15.43,NL,1732482647
17,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,59,75,3.0,RU,1732482648
18,iskateley,67.6803,53.1512,268.9,90,92,10.8,RU,1732482649
19,invercargill,-46.4,168.35,287.6,78,66,6.71,NZ,1732482651
20,isangel,-19.55,169.2667,297.21,87,99,8.49,VU,1732482652
21,carutapera,-1.195,-46.02,300.14,77,100,3.71,BR,1732482382
22,edinburgh of the seven seas,-37.0676,-12.3116,285.5,72,90,5.67,SH,1732482654
23,puerto natales,-51.7236,-72.4875,285.4,47,75,4.63,CL,1732482655
24,whitehorse,60.7161,-135.0538,256.54,86,80,3.3,CA,1732482656
25,port elizabeth,-33.918,25.5701,294.44,99,30,1.34,ZA,1732482658
26,siniscola,40.5719,9.6922,282.97,80,4,2.38,IT,1732482659
27,waingapu,-9.6567,120.2641,300.25,80,57,1.03,ID,1732482660
28,saipan,15.1355,145.701,300.73,88,40,7.2,MP,1732482661
29,longyearbyen,78.2186,15.6401,267.06,68,20,6.69,SJ,1732482662
30,alofi,-19.0595,-169.9187,300.09,78,100,5.14,NU,1732482663
31,ushuaia,-54.8,-68.3,281.54,68,95,1.75,AR,1732482664
32,yanbu,24.0891,38.0637,296.17,73,0,3.09,SA,1732482626
33,haiku-pauwela,20.9219,-156.3051,297.67,71,20,4.12,US,1732482667
34,georgetown,5.4112,100.3354,298.71,88,20,1.03,MY,1732482668
35,waitangi,-43.9535,-176.5597,288.61,88,100,4.47,NZ,1732482669
36,oltinko'l,40.8011,72.1634,279.71,38,77,2.57,UZ,1732482670
37,avarua,-21.2078,-159.775,299.18,78,100,3.6,CK,1732482671
38,west island,-12.1568,96.8225,299.14,94,75,9.77,CC,1732482672
39,olonkinbyen,70.9221,-8.7187,268.89,59,1,5.7,SJ,1732482673
40,afaahiti,-17.75,-149.2833,298.21,85,59,5.56,PF,1732482674
41,fort bragg,35.139,-79.006,292.01,47,0,3.6,US,1732482676
42,kharkhorin,47.1975,102.8238,256.62,66,6,2.56,MN,1732482677
43,stanley,54.868,-1.6985,282.08,78,20,7.2,GB,1732482678
44,anadyr,64.75,177.4833,266.43,86,75,3.0,RU,1732482679
45,murun-kuren,49.6342,100.1625,260.21,56,87,2.4,MN,1732482492
46,kourou,5.1552,-52.6478,299.27,85,100,2.71,GF,1732482681
47,cartagena,10.3997,-75.5144,301.94,79,40,4.92,CO,1732482595
48,udachny,66.4167,112.4,240.91,99,39,3.21,RU,1732482685
49,mumford,5.2618,-0.759,299.81,84,7,2.91,GH,1732482686
50,port lincoln,-34.7333,135.8667,289.81,84,100,3.35,AU,1732482687
51,igarka,67.4667,86.5833,267.79,95,100,11.46,RU,1732482688
52,conception bay south,47.4999,-52.9981,281.73,99,100,2.36,CA,1732482689
53,salahonda,2.1019,-78.7217,298.29,81,100,4.6,CO,1732482691
54,albany,42.6001,-73.9662,277.45,73,84,1.79,US,1732482048
55,greenville,35.6127,-77.3663,290.36,50,0,3.09,US,1732482693
56,iqaluit,63.7506,-68.5145,270.76,92,100,5.36,CA,1732482694
57,ojuelos de jalisco,21.8667,-101.5833,296.77,15,0,2.55,MX,1732482695
58,college,64.8569,-147.8028,265.55,80,100,1.54,US,1732482696
59,kolonia town,6.964,158.206,302.15,79,75,2.06,FM,1732482699
60,hermanus,-34.4187,19.2345,292.48,88,100,1.92,ZA,1732482700
61,kayenta,36.7278,-110.2546,284.86,36,68,11.29,US,1732482702
62,bilibino,68.0546,166.4372,244.88,97,100,0.78,RU,1732482703
63,juan griego,11.0817,-63.9655,302.13,72,67,6.71,VE,1732482704
64,margaret river,-33.95,115.0667,288.88,68,73,6.95,AU,1732482638
65,broome,42.2506,-75.833,278.47,64,40,3.6,US,1732482518
66,manaure,11.7751,-72.4445,303.82,63,19,6.49,CO,1732482708
67,woolgoolga,-30.1106,153.2007,294.23,75,3,2.66,AU,1732482709
68,thompson,55.7435,-97.8558,260.27,82,100,3.92,CA,1732482710
69,dudinka,69.4058,86.1778,266.73,93,100,12.89,RU,1732482711
70,bakum,52.7321,8.1593,289.82,62,100,3.13,DE,1732482712
71,crane,31.3974,-102.3501,301.61,11,11,8.06,US,1732482713
72,olyokminsk,60.3736,120.4264,255.32,97,100,1.54,RU,1732482715
73,nishinoomote,30.7333,131.0,290.02,62,45,8.37,JP,1732482716
74,hamilton,39.1834,-84.5333,286.8,58,0,5.14,US,1732482717
75,puerto cabezas,14.0351,-83.3888,299.88,80,75,4.82,NI,1732482719
76,port lavaca,28.615,-96.6261,301.07,57,40,7.72,US,1732482720
77,borzya,50.3833,116.5167,258.56,88,100,6.32,RU,1732482721
78,boda,4.3189,17.4695,296.98,50,14,1.69,CF,1732482722
79,hawaiian paradise park,19.5933,-154.9731,298.11,85,100,3.09,US,1732482723
80,uturoa,-16.7333,-151.4333,299.83,79,70,5.54,PF,1732482724
81,port mathurin,-19.6833,63.4167,297.77,76,34,8.23,MU,1732482726
82,hithadhoo,-0.6,73.0833,301.24,74,91,6.46,MV,1732482728
83,dryden,49.7833,-92.7503,269.31,80,100,2.57,CA,1732482722
84,george town,5.4112,100.3354,300.11,89,20,1.03,MY,1732482461
85,ribeira grande,38.5167,-28.7,288.37,72,75,2.57,PT,1732482731
86,ayr,55.4627,-4.6339,283.27,77,75,11.32,GB,1732482732
87,utrik,11.2278,169.8474,301.25,81,46,8.73,MH,1732482733
88,colonia,50.9333,6.95,289.37,60,0,6.17,DE,1732482734
89,blackmans bay,-43.0167,147.3167,285.75,94,98,2.4,AU,1732482735
90,walvis bay,-22.9575,14.5053,288.35,94,13,3.42,NA,1732482736
91,tarawa,1.419,172.984,303.2,74,20,4.63,KI,1732482738
92,ust-nera,64.5667,143.2,244.22,95,100,0.72,RU,1732482739
93,villa gesell,-37.2639,-56.973,293.55,82,53,10.57,AR,1732482740
94,kodiak,57.79,-152.4072,272.88,86,0,2.06,US,1732482491
95,tual,-5.6667,132.75,301.77,70,84,0.74,ID,1732482742
96,lazaro cardenas,17.9583,-102.2,301.77,69,4,4.09,MX,1732482743
97,yermentau,51.6214,73.1069,266.12,81,16,2.27,KZ,1732482744
98,chonchi,-42.6128,-73.8092,288.22,56,55,3.93,CL,1732482745
99,arraial do cabo,-22.9661,-42.0278,295.07,83,20,5.66,BR,1732482747
100,manta,-0.95,-80.7333,301.03,65,20,4.63,EC,1732482748
101,talnakh,69.4865,88.3972,265.29,94,100,8.9,RU,1732482749
102,shingu,33.7333,135.9833,279.61,84,1,3.07,JP,1732482750
103,lata,40.1629,-8.3327,290.63,78,99,8.08,PT,1732482751
104,kristiansund,63.1115,7.732,279.51,61,0,2.57,NO,1732482752
105,magadan,59.5667,150.8,260.47,61,55,4.81,RU,1732482753
106,san pedro,14.35,121.0167,299.78,87,40,3.58,PH,1732482629
107,myeik,12.4333,98.6,298.54,84,100,2.1,MM,1732482702
108,yellowknife,62.456,-114.3525,262.82,96,99,4.02,CA,1732482757
109,arauco,-37.2463,-73.3175,289.11,63,43,3.28,CL,1732482758
110,frankfort,-27.2667,28.4833,293.82,52,86,2.08,ZA,1732482759
111,nova xavantina,-14.6667,-52.35,299.31,86,49,1.41,BR,1732482760
112,martapura,-3.4167,114.85,298.2,100,100,0.51,ID,1732482761
113,buritis,-15.6178,-46.4233,295.87,91,50,1.59,BR,1732482762
114,hammerfest,70.6634,23.6821,273.4,93,75,5.66,NO,1732482763
115,mount pearl,47.5166,-52.7813,281.44,99,100,2.06,CA,1732482764
116,yuncheng,35.0231,110.9928,277.47,71,100,6.56,CN,1732482765
